"","RMSE","MAE","MAPE","MASE",""
"","RMSE","MAE","MAPE","MASE","WineMakerLoss"
"RF_500_6_15","0.51867913701482","0.395937217591436","7.44729807267592","0.621077988378723","71.3500661230717"
"RF_500_6_20","0.522480515686931","0.398320801342218","7.49057920080504","0.62481694328191","72.3717468118126"
"RF_500_7_5","0.505314271415159","0.3748675","7.08149792906746","0.588027450980392","67.6788757936508"
"RF_500_7_10","0.513229901459222","0.384767996031746","7.25744888274754","0.603557640834111","69.1860179469009"
"RF_500_7_15","0.518104113013391","0.392706722808441","7.39806655792537","0.616010545581869","70.3683022395181"
"RF_500_7_20","0.525171604135686","0.402477708491763","7.567040756327","0.631337581947864","74.0121931829847"
"RF_500_8_5","0.504148943996354","0.3716740625","7.02169761904762","0.583018137254902","68.1674122023809"
"RF_500_8_10","0.513129724393859","0.385463628472222","7.26389786411092","0.604648828976035","70.0913523821334"
"RF_500_8_15","0.516715139715886","0.391243526889777","7.36278317742525","0.613715336297689","69.012729060275"
"RF_500_8_20","0.523541485066885","0.398741079335665","7.49311931210963","0.625476202879474","70.120013194431"
"RF_500_9_5","0.506496986119283","0.3740509375","7.05755238095238","0.586746568627451","67.0352839781746"
"RF_500_9_10","0.51621624918947","0.388335550595238","7.32644521004582","0.609153804855275","69.1176847871788"
"RF_500_9_15","0.520066627497101","0.392947290019009","7.39636349822259","0.616387905912171","70.2027978028503"
